run_id,fixture_id,experiment,variant,source,status,decision,reason_codes,true_h_mm,h_mm,lower_mm,upper_mm,threshold_mm,error_mm,abs_error_mm,covered,burst_sd_mm,u_c_mm,failed_stage,failed_gate,frames_ok,frames_requested,design_h_mm,shape_class,safety_class,panel_id,operator,device,repeat,angle_deg,reference_method,glyph_label
P01-A-OP1-R1,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,2.994616,2.912366,3.076866,1.000000,-0.046384,0.046384,1,0.015316,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,A,R1,0.000000,SCANNER_2400DPI,BAR_I
P01-A-OP1-R2,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.021884,2.939634,3.104134,1.000000,-0.019116,0.019116,1,0.016192,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,A,R2,12.000000,SCANNER_2400DPI,BAR_I
P01-A-OP1-R3,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,2.958627,2.876377,3.040877,1.000000,-0.082373,0.082373,0,0.015129,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,A,R3,25.000000,SCANNER_2400DPI,BAR_I
P01-A-OP2-R1,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.142177,3.059927,3.224427,1.000000,0.101177,0.101177,0,0.014262,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,A,R1,0.000000,SCANNER_2400DPI,BAR_I
P01-A-OP2-R2,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.055634,2.973384,3.137884,1.000000,0.014634,0.014634,1,0.006818,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,A,R2,12.000000,SCANNER_2400DPI,BAR_I
P01-A-OP2-R3,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.041982,2.959732,3.124232,1.000000,0.000982,0.000982,1,0.010696,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,A,R3,25.000000,SCANNER_2400DPI,BAR_I
P01-B-OP1-R1,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.080445,2.998195,3.162695,1.000000,0.039445,0.039445,1,0.014213,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,B,R1,0.000000,SCANNER_2400DPI,BAR_I
P01-B-OP1-R2,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,2.909395,2.827145,2.991645,1.000000,-0.131605,0.131605,0,0.012673,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,B,R2,12.000000,SCANNER_2400DPI,BAR_I
P01-B-OP1-R3,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.064342,2.982092,3.146592,1.000000,0.023342,0.023342,1,0.013969,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP1,B,R3,25.000000,SCANNER_2400DPI,BAR_I
P01-B-OP2-R1,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,2.932877,2.850627,3.015127,1.000000,-0.108123,0.108123,0,0.003798,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,B,R1,0.000000,SCANNER_2400DPI,BAR_I
P01-B-OP2-R2,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.045525,2.963275,3.127775,1.000000,0.004525,0.004525,1,0.011350,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,B,R2,12.000000,SCANNER_2400DPI,BAR_I
P01-B-OP2-R3,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,2.985933,2.903683,3.068183,1.000000,-0.055067,0.055067,1,0.011704,0.050000,,,7,7,3.000000,FLAT_TOP,SAFE,P01,OP2,B,R3,25.000000,SCANNER_2400DPI,BAR_I
P02-A-OP1-R1,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.031768,1.949518,2.114018,1.000000,0.003768,0.003768,1,0.010847,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,A,R1,0.000000,SCANNER_2400DPI,RING_O
P02-A-OP1-R2,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.201039,2.118789,2.283289,1.000000,0.173039,0.173039,0,0.012579,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,A,R2,12.000000,SCANNER_2400DPI,RING_O
P02-A-OP1-R3,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.085011,2.002761,2.167261,1.000000,0.057011,0.057011,1,0.015059,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,A,R3,25.000000,SCANNER_2400DPI,RING_O
P02-A-OP2-R1,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.127623,2.045373,2.209873,1.000000,0.099623,0.099623,0,0.007896,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP2,A,R1,0.000000,SCANNER_2400DPI,RING_O
P02-A-OP2-R2,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.080746,1.998496,2.162996,1.000000,0.052746,0.052746,1,0.015526,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP2,A,R2,12.000000,SCANNER_2400DPI,RING_O
P02-A-OP2-R3,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.003387,1.921137,2.085637,1.000000,-0.024613,0.024613,1,0.016176,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP2,A,R3,25.000000,SCANNER_2400DPI,RING_O
P02-B-OP1-R1,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.056943,1.974693,2.139193,1.000000,0.028943,0.028943,1,0.009369,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,B,R1,0.000000,SCANNER_2400DPI,RING_O
P02-B-OP1-R2,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.189299,2.107049,2.271549,1.000000,0.161299,0.161299,0,0.015706,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,B,R2,12.000000,SCANNER_2400DPI,RING_O
P02-B-OP1-R3,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,1.971001,1.888751,2.053251,1.000000,-0.056999,0.056999,1,0.012912,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP1,B,R3,25.000000,SCANNER_2400DPI,RING_O
P02-B-OP2-R1,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.022649,1.940399,2.104899,1.000000,-0.005351,0.005351,1,0.011027,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP2,B,R1,0.000000,SCANNER_2400DPI,RING_O
P02-B-OP2-R2,P02,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,2.028000,2.015999,1.933749,2.098249,1.000000,-0.012001,0.012001,1,0.009245,0.050000,,,7,7,2.000000,ROUND,SAFE,P02,OP2,B,R2,12.000000,SCANNER_2400DPI,RING_O
P02-B-OP2-R3,P02,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,2.028000,,,,,,,,,,IMAGE_QUALITY,blur_sigma_mm,7,7,2.000000,ROUND,SAFE,P02,OP2,B,R3,25.000000,SCANNER_2400DPI,RING_O
P01-A-OP1-DEFOCUS-S01,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S01,,SCANNER_2400DPI,BAR_I
P01-A-OP1-MOTION-S02,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S02,,SCANNER_2400DPI,BAR_I
P01-A-OP1-GLARE-S03,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S03,,SCANNER_2400DPI,BAR_I
P01-A-OP1-MARKER_OCCLUDED-S04,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S04,,SCANNER_2400DPI,BAR_I
P01-A-OP1-WRONG_FRAME-S05,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S05,,SCANNER_2400DPI,BAR_I
P01-A-OP1-LOW_CONTRAST-S06,P01,PHYSICAL_PILOT,base,real,MEASURED,MEETS_SCREENING_THRESHOLD,,3.041000,3.367840,3.285590,3.450090,1.000000,0.326840,0.326840,0,0.020000,0.050000,,,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S06,,SCANNER_2400DPI,BAR_I
P01-A-OP1-BOWED_PANEL-S07,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S07,,SCANNER_2400DPI,BAR_I
P01-A-OP1-FRAME_NOT_FLUSH-S08,P01,PHYSICAL_PILOT,base,real,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,,PHYSICAL_SIZE_NOT_ESTABLISHED_SEGMENTATION,3.041000,,,,,,,,,,SEGMENTATION,median_crossings,7,7,3.000000,FLAT_TOP,UNSAFE_DETECTABLE,P01,OP1,A,S08,,SCANNER_2400DPI,BAR_I
