run_id,fixture_id,experiment,variant,source,status,decision,reason_codes,true_h_mm,h_mm,lower_mm,upper_mm,threshold_mm,error_mm,abs_error_mm,covered,h_raw_mean_mm,h_maxminus_min_mm,maxminus_min_error_mm,burst_sd_mm,u_random_mm,u_scale_mm,u_seg_mm,u_c_mm,interval_width_mm,rho_min_px_per_mm,blur_sigma_mm,michelson_contrast,snr,overshoot_ratio,reproj_rms_px,reproj_max_px,edge_rms_px,lomo_rel_spread,view_tilt_deg,z_mm,hull_margin_mm,jacobian_ratio,scanline_fraction,median_crossings,thickness_over_z,clip_bright_frac,clip_dark_frac,frames_ok,frames_requested,failed_stage,failed_gate,glyph_shape,shape_class,design_h_mm,ink_spread_mm,pose_tilt_deg,pose_z_mm,glyph_plane_offset_mm,glyph_plane_tilt_deg,undistort_enabled,linearize_enabled,algorithm_version,timing_s,safety_class
E_BLUR-0.0__base,E_BLUR-0.0,E_BLUR,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.060735,3.045141,3.076329,2.754000,0.000735,0.000735,1,3.060735,3.062873,0.002873,0.004316,0.001631,0.000438,0.009001,0.009480,0.031188,17.854053,0.033482,0.911300,610.709763,0.008151,0.163327,0.255905,0.077330,0.000491,0.521672,,27.000000,1.000097,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.631753,DIAGNOSTIC
E_BLUR-0.5__base,E_BLUR-0.5,E_BLUR,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.062608,3.043725,3.081491,2.754000,0.002608,0.002608,1,3.062608,3.064712,0.004712,0.004706,0.001779,0.000383,0.011066,0.011479,0.037766,17.850391,0.037741,0.910716,600.106426,0.006943,0.125298,0.249002,0.073454,0.000326,0.417585,,27.000000,1.000116,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.643811,DIAGNOSTIC
E_BLUR-1.0__base,E_BLUR-1.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.061882,3.064222,0.004222,0.002563,0.000969,0.000152,0.018859,0.019042,0.062649,17.937917,0.061417,0.909354,561.885574,0.006893,0.098617,0.183699,0.056028,0.000182,0.365539,,27.000000,1.000086,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.687279,DIAGNOSTIC
E_BLUR-1.5__base,E_BLUR-1.5,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.060769,3.065049,0.005049,0.003819,0.001444,0.000138,0.026072,0.026226,0.086285,17.896988,0.085742,0.905910,151.497378,0.008857,0.106861,0.193694,0.050171,0.000202,0.386795,,27.000000,1.000086,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.679342,DIAGNOSTIC
E_BLUR-2.0__base,E_BLUR-2.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.060714,3.063545,0.003545,0.002152,0.000814,0.000269,0.033730,0.033830,0.111301,17.834917,0.103942,0.890746,54.710267,0.010045,0.312461,0.456312,0.045343,0.000265,0.462622,,27.000000,1.000150,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.682434,DIAGNOSTIC
E_BLUR-3.0__base,E_BLUR-3.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.059938,3.065878,0.005878,0.004196,0.001586,0.001437,0.049134,0.049241,0.162003,17.887864,0.127756,0.779465,23.461159,0.016600,1.050711,1.531747,0.036686,0.001097,0.433068,,27.000000,1.000413,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.716821,DIAGNOSTIC
E_DECISION-2.40__base,E_DECISION-2.40,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.400000,2.400696,2.374038,2.427353,3.000000,0.000696,0.000696,1,2.400696,2.404038,0.004038,0.002995,0.001132,0.000093,0.016051,0.016205,0.053315,17.918913,0.053473,0.908654,457.684328,0.008409,0.079254,0.165182,0.058819,0.000143,0.348514,,27.000000,1.000111,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.400000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.595238,SAFE
E_DECISION-2.70__base,E_DECISION-2.70,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.700000,2.702057,2.676225,2.727888,3.000000,0.002057,0.002057,1,2.702057,2.706849,0.006849,0.003769,0.001424,0.000170,0.015488,0.015703,0.051664,17.879532,0.053189,0.909465,558.500065,0.006681,0.080688,0.148618,0.059635,0.000208,0.487966,,27.000000,1.000102,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.700000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.671282,SAFE
E_DECISION-2.85__base,E_DECISION-2.85,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.850000,2.851528,2.825787,2.877269,3.000000,0.001528,0.001528,1,2.851528,2.853613,0.003613,0.001269,0.000480,0.000197,0.015472,0.015648,0.051482,17.949718,0.053294,0.909556,576.434392,0.008177,0.087764,0.144277,0.059448,0.000218,0.472514,,27.000000,1.000059,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.850000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.739899,SAFE
E_DECISION-2.95__base,E_DECISION-2.95,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.950000,2.950439,2.925081,2.975797,3.000000,0.000439,0.000439,1,2.950439,2.953240,0.003240,0.002176,0.000822,0.000204,0.015210,0.015415,0.050716,17.917357,0.053420,0.909720,612.320474,0.007537,0.095903,0.222537,0.057465,0.000221,0.312587,,27.000000,1.000073,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.950000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.727252,SAFE
E_DECISION-3.05__base,E_DECISION-3.05,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.050000,3.047500,3.023009,3.071991,3.000000,-0.002500,0.002500,1,3.047500,3.048964,-0.001036,0.001871,0.000707,0.000217,0.014669,0.014888,0.048983,17.869855,0.053239,0.910152,614.062152,0.007299,0.105902,0.184915,0.062034,0.000171,0.260926,,27.000000,1.000061,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.050000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.813724,SAFE
E_DECISION-3.15__base,E_DECISION-3.15,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.150000,3.152648,3.126228,3.179068,3.000000,0.002648,0.002648,1,3.152648,3.156000,0.006000,0.002932,0.001108,0.000190,0.015822,0.016061,0.052840,17.865937,0.053323,0.909765,628.968631,0.006928,0.083655,0.144932,0.059256,0.000254,0.512818,,27.000000,1.000144,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.150000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.730283,SAFE
