run_id,fixture_id,experiment,variant,source,status,decision,reason_codes,true_h_mm,h_mm,lower_mm,upper_mm,threshold_mm,error_mm,abs_error_mm,covered,h_raw_mean_mm,h_maxminus_min_mm,maxminus_min_error_mm,burst_sd_mm,u_random_mm,u_scale_mm,u_seg_mm,u_c_mm,interval_width_mm,rho_min_px_per_mm,blur_sigma_mm,michelson_contrast,snr,overshoot_ratio,reproj_rms_px,reproj_max_px,edge_rms_px,lomo_rel_spread,view_tilt_deg,z_mm,hull_margin_mm,jacobian_ratio,scanline_fraction,median_crossings,thickness_over_z,clip_bright_frac,clip_dark_frac,frames_ok,frames_requested,failed_stage,failed_gate,glyph_shape,shape_class,design_h_mm,ink_spread_mm,pose_tilt_deg,pose_z_mm,glyph_plane_offset_mm,glyph_plane_tilt_deg,undistort_enabled,linearize_enabled,algorithm_version,timing_s,safety_class
E_BLUR-0.0__base,E_BLUR-0.0,E_BLUR,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.060783,3.045152,3.076413,2.754000,0.000783,0.000783,1,3.060783,3.062880,0.002880,0.004292,0.001622,0.000436,0.009026,0.009502,0.031261,17.854032,0.033731,0.911297,610.696598,0.008149,0.164104,0.259503,0.077662,0.000491,0.521549,,27.000000,1.000096,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.593438,DIAGNOSTIC
E_BLUR-0.5__base,E_BLUR-0.5,E_BLUR,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.062616,3.043728,3.081504,2.754000,0.002616,0.002616,1,3.062616,3.064720,0.004720,0.004706,0.001779,0.000376,0.011070,0.011482,0.037777,17.850379,0.037951,0.910715,600.343794,0.006941,0.125090,0.245826,0.073054,0.000323,0.417677,,27.000000,1.000117,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.623338,DIAGNOSTIC
E_BLUR-1.0__base,E_BLUR-1.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.061892,3.064232,0.004232,0.002565,0.000969,0.000151,0.018859,0.019042,0.062648,17.937879,0.061919,0.909362,561.709342,0.006888,0.097671,0.182213,0.055751,0.000186,0.365393,,27.000000,1.000087,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.614853,DIAGNOSTIC
E_BLUR-1.5__base,E_BLUR-1.5,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.060739,3.065044,0.005044,0.003859,0.001459,0.000080,0.026070,0.026225,0.086281,17.897372,0.088792,0.905904,151.832492,0.008683,0.087244,0.143966,0.051614,0.000169,0.385576,,27.000000,1.000069,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.624181,DIAGNOSTIC
E_BLUR-2.0__base,E_BLUR-2.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.060609,3.063452,0.003452,0.002270,0.000858,0.000085,0.033640,0.033740,0.111003,17.837132,0.115703,0.890733,54.876206,0.010243,0.082413,0.129994,0.051019,0.000167,0.466095,,27.000000,1.000062,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.593822,DIAGNOSTIC
E_BLUR-3.0__base,E_BLUR-3.0,E_BLUR,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.058227,3.064793,0.004793,0.004293,0.001623,0.000184,0.048985,0.049073,0.161450,17.896142,0.169949,0.779759,23.641188,0.016821,0.102986,0.208245,0.049042,0.000238,0.424074,,27.000000,1.000047,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.695596,DIAGNOSTIC
E_DECISION-2.40__base,E_DECISION-2.40,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.400000,2.400702,2.374046,2.427358,3.000000,0.000702,0.000702,1,2.400702,2.404044,0.004044,0.002996,0.001132,0.000094,0.016050,0.016204,0.053312,17.918874,0.053980,0.908655,457.722039,0.008409,0.079244,0.161556,0.058921,0.000142,0.348567,,27.000000,1.000113,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.400000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.492786,SAFE
E_DECISION-2.70__base,E_DECISION-2.70,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.700000,2.702064,2.676233,2.727895,3.000000,0.002064,0.002064,1,2.702064,2.706856,0.006856,0.003767,0.001424,0.000169,0.015487,0.015703,0.051662,17.879514,0.053497,0.909463,558.594548,0.006680,0.083596,0.155380,0.059936,0.000207,0.487905,,27.000000,1.000103,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.700000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.531354,SAFE
E_DECISION-2.85__base,E_DECISION-2.85,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.850000,2.851536,2.825794,2.877278,3.000000,0.001536,0.001536,1,2.851536,2.853622,0.003622,0.001269,0.000480,0.000194,0.015473,0.015648,0.051483,17.949693,0.053819,0.909557,576.359089,0.008176,0.086905,0.148466,0.058881,0.000218,0.472553,,27.000000,1.000058,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.850000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.657096,SAFE
E_DECISION-2.95__base,E_DECISION-2.95,E_DECISION,base,synthetic,MEASURED,POTENTIAL_UNDERSIZE,,2.950000,2.950448,2.925091,2.975806,3.000000,0.000448,0.000448,1,2.950448,2.953247,0.003247,0.002175,0.000822,0.000199,0.015210,0.015415,0.050715,17.917344,0.053941,0.909720,612.338549,0.007537,0.096359,0.217803,0.057106,0.000221,0.312485,,27.000000,1.000075,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.950000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.601885,SAFE
E_DECISION-3.05__base,E_DECISION-3.05,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.050000,3.047509,3.023018,3.072000,3.000000,-0.002491,0.002491,1,3.047509,3.048972,-0.001028,0.001871,0.000707,0.000220,0.014669,0.014888,0.048982,17.869843,0.053679,0.910150,614.204029,0.007301,0.106594,0.192929,0.061611,0.000173,0.260850,,27.000000,1.000062,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.050000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.669441,SAFE
E_DECISION-3.15__base,E_DECISION-3.15,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.150000,3.152657,3.126237,3.179078,3.000000,0.002657,0.002657,1,3.152657,3.156008,0.006008,0.002933,0.001109,0.000192,0.015822,0.016061,0.052841,17.865903,0.053738,0.909767,628.828925,0.006927,0.084124,0.152055,0.058908,0.000257,0.512801,,27.000000,1.000146,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.150000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.596762,SAFE
E_DECISION-3.30__base,E_DECISION-3.30,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.300000,3.300225,3.274283,3.326167,3.000000,0.000225,0.000225,1,3.300225,3.302600,0.002600,0.004930,0.001863,0.000162,0.015435,0.015770,0.051884,17.981856,0.053335,0.909905,624.477329,0.008484,0.095616,0.178367,0.058187,0.000189,0.643911,,27.000000,1.000098,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.300000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.648957,SAFE
E_DECISION-3.60__base,E_DECISION-3.60,E_DECISION,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.600000,3.599805,3.573483,3.626127,3.000000,-0.000195,0.000195,1,3.599805,3.602857,0.002857,0.003140,0.001187,0.000281,0.015693,0.016001,0.052644,17.902241,0.053708,0.910139,606.277378,0.006028,0.115950,0.209567,0.057697,0.000244,0.382336,,27.000000,1.000069,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.600000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.685377,SAFE
